state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,day_of_week,week_number,month_number
Washington,No,0,3,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Two-Door Car,Medsize,3,8,2
Arizona,No,1,3,Unemployed,F,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Medsize,0,5,1
Nevada,No,2,3,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize,5,7,2
California,No,0,3,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Call Center,SUV,Medsize,3,3,1
Washington,No,0,3,Employed,M,Rural,Single,Personal Auto,1,1,Agent,Four-Door Car,Medsize,3,5,2
Oregon,Yes,0,3,Employed,F,Rural,Married,Personal Auto,3,2,Web,Two-Door Car,Medsize,1,4,1
Oregon,Yes,0,1,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,3,8,2
Arizona,No,2,4,Unemployed,M,Urban,Single,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,1,3,1
Oregon,Yes,0,3,Other,M,Suburban,Divorced,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2,4,1
Oregon,No,1,1,Employed,F,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize,3,7,2
California,No,0,1,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,0,8,2
California,No,0,1,Unemployed,F,Suburban,Married,Personal Auto,3,2,Agent,SUV,Medsize,3,1,1
California,No,2,4,Employed,M,Urban,Married,Corporate Auto,1,2,Agent,Four-Door Car,Medsize,6,5,2
Arizona,Yes,0,0,Employed,M,Suburban,Married,Corporate Auto,3,2,Branch,SUV,Medsize,0,2,1
California,No,0,1,Employed,M,Urban,Single,Corporate Auto,3,4,Call Center,Four-Door Car,Medsize,1,3,1
Oregon,No,0,3,Employed,F,Rural,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,0,3,1
Nevada,No,0,0,Other,M,Suburban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,6,5,2
California,No,0,1,Other,M,Suburban,Married,Personal Auto,2,3,Call Center,SUV,Medsize,2,1,1
Oregon,No,0,1,Employed,M,Urban,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize,6,8,2
California,No,2,0,Employed,F,Suburban,Married,Corporate Auto,2,1,Call Center,Four-Door Car,Small,4,2,1
Oregon,No,0,0,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Medsize,5,7,2
Washington,No,1,3,Other,F,Suburban,Divorced,Personal Auto,3,4,Call Center,Four-Door Car,Medsize,4,3,1
Arizona,Yes,0,3,Other,M,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2,4,1
Nevada,No,0,3,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Medsize,3,8,2
California,No,0,3,Other,F,Suburban,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,5,5,2
Oregon,No,0,1,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large,5,4,1
California,No,2,3,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,0,9,2
Washington,No,1,4,Other,F,Urban,Married,Corporate Auto,1,1,Branch,SUV,Medsize,5,6,2
Arizona,No,2,1,Employed,F,Suburban,Single,Personal Auto,3,1,Call Center,Four-Door Car,Large,2,5,2
Oregon,No,1,4,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,0,6,2
Arizona,No,0,1,Employed,M,Suburban,Married,Personal Auto,2,4,Call Center,Four-Door Car,Small,0,9,2
Nevada,No,1,0,Employed,M,Urban,Married,Corporate Auto,2,2,Agent,Luxury,Medsize,5,3,1
